family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Micro_Hurst:lo@p20,LONG,aligned,standard,15618,709.91,147.34,418,77.8,77.8,77.8,1.081,-384.9,4,22,12,5,3,0,0,57.6,False,none
F13,Micro_Hurst:lo@p20,LONG,counter,standard,15633,710.59,147.481,497,83.9,83.9,83.9,1.72,-221.5,6,22,18,6,6,0,0,88.2,False,none
F13,Micro_Hurst:lo@p20,SHORT,aligned,standard,15633,710.59,147.481,466,77.0,77.0,77.0,0.849,-333.7,2,22,12,6,1,0,0,44.1,False,none
F13,Micro_Hurst:lo@p20,SHORT,counter,standard,15618,709.91,147.34,407,80.8,81.0,80.8,1.443,-279.2,6,22,15,5,5,1,0,78.8,False,none
F13,Micro_Hurst:lo@p10,LONG,aligned,standard,7940,360.91,74.906,247,78.9,79.3,78.9,1.233,-260.0,4,22,15,5,2,1,0,63.6,False,none
F13,Micro_Hurst:lo@p10,LONG,counter,standard,7901,359.14,74.538,309,85.1,85.1,85.1,1.777,-201.4,6,22,17,5,5,0,0,84.8,False,none
F13,Micro_Hurst:lo@p10,SHORT,aligned,standard,7901,359.14,74.538,284,74.3,74.3,74.3,0.829,-341.4,1,22,14,5,1,0,0,48.5,False,none
F13,Micro_Hurst:lo@p10,SHORT,counter,standard,7940,360.91,74.906,248,80.6,80.6,80.6,1.535,-228.9,5,22,12,5,4,0,0,63.6,False,none
F13,Micro_Hurst:lo@p5,LONG,aligned,standard,3864,175.64,36.453,143,79.7,79.7,79.7,0.982,-261.0,4,22,14,5,3,0,0,63.6,False,none
F13,Micro_Hurst:lo@p5,LONG,counter,standard,3916,178.0,36.943,163,82.8,82.8,82.8,1.261,-191.5,6,22,16,5,3,0,0,75.8,False,none
