family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,DailyOpen_Dist_ATR:hi@p97,LONG,aligned,standard,7063,321.05,66.632,42,66.7,66.7,66.7,0.544,-269.2,1,10,5,5,1,0,0,36.8,False,none
F13,DailyOpen_Dist_ATR:hi@p97,LONG,counter,standard,5521,250.95,52.085,57,73.7,73.7,73.7,0.816,-206.6,1,8,4,5,3,0,0,47.1,False,none
F13,DailyOpen_Dist_ATR:hi@p97,SHORT,aligned,standard,5521,250.95,52.085,59,81.4,81.4,81.4,1.859,-90.3,3,8,6,5,3,0,0,70.6,False,none
F13,DailyOpen_Dist_ATR:hi@p97,SHORT,counter,standard,7063,321.05,66.632,39,79.5,79.5,79.5,1.557,-48.3,2,10,6,5,4,0,0,63.2,False,none
F13,DailyOpen_Dist_ATR:hi@p99,LONG,aligned,standard,4742,215.55,44.736,21,66.7,66.7,66.7,0.396,-235.3,1,3,1,3,1,0,0,33.3,False,none
F13,DailyOpen_Dist_ATR:hi@p99,LONG,counter,standard,3331,151.41,31.425,23,69.6,69.6,69.6,0.878,-126.5,1,6,2,4,1,0,0,28.6,False,none
F13,DailyOpen_Dist_ATR:hi@p99,SHORT,aligned,standard,3331,151.41,31.425,20,70.0,70.0,70.0,1.095,-100.5,2,6,3,4,3,0,0,57.1,False,none
F13,DailyOpen_Dist_ATR:hi@p99,SHORT,counter,standard,4742,215.55,44.736,23,82.6,82.6,82.6,3.164,-6.8,2,3,2,3,2,0,0,66.7,False,none
F13,DailyOpen_Dist_ATR:lo@p50,LONG,aligned,standard,34417,1564.41,324.689,838,79.4,79.4,79.4,1.212,-641.4,4,22,12,6,5,0,0,61.8,False,none
F13,DailyOpen_Dist_ATR:lo@p50,LONG,counter,standard,37367,1698.5,352.519,955,81.6,81.6,81.6,1.31,-555.1,6,22,18,6,5,3,1,85.3,False,none
F13,DailyOpen_Dist_ATR:lo@p50,SHORT,aligned,standard,37367,1698.5,352.519,918,78.0,78.1,78.0,1.062,-447.8,5,22,11,6,2,3,1,52.9,False,none
F13,DailyOpen_Dist_ATR:lo@p50,SHORT,counter,standard,34417,1564.41,324.689,886,78.7,78.8,78.7,1.162,-713.0,4,22,14,6,4,2,0,64.7,False,none
F13,DailyOpen_Dist_ATR:lo@p40,LONG,aligned,standard,27725,1260.23,261.557,728,78.6,78.6,78.6,1.193,-510.0,5,22,12,6,4,0,0,61.8,False,none
F13,DailyOpen_Dist_ATR:lo@p40,LONG,counter,standard,30252,1375.09,285.396,826,81.8,81.8,81.8,1.331,-340.1,6,22,14,6,5,2,0,73.5,False,none
F13,DailyOpen_Dist_ATR:lo@p40,SHORT,aligned,standard,30252,1375.09,285.396,804,77.7,77.9,77.7,1.045,-599.8,5,22,10,6,2,3,0,50.0,False,none
F13,DailyOpen_Dist_ATR:lo@p40,SHORT,counter,standard,27725,1260.23,261.557,776,79.0,79.2,79.0,1.21,-619.1,4,22,15,6,5,2,0,70.6,False,none
F13,DailyOpen_Dist_ATR:lo@p30,LONG,aligned,standard,20992,954.18,198.038,629,79.5,79.5,79.5,1.261,-498.7,4,22,12,6,4,0,0,58.8,False,none
F13,DailyOpen_Dist_ATR:lo@p30,LONG,counter,standard,23014,1046.09,217.113,665,83.0,83.1,83.0,1.45,-340.1,6,22,18,6,6,3,0,88.2,False,none
F13,DailyOpen_Dist_ATR:lo@p30,SHORT,aligned,standard,23014,1046.09,217.113,654,78.1,78.5,78.1,1.039,-408.0,4,22,12,6,2,3,0,52.9,False,none
F13,DailyOpen_Dist_ATR:lo@p30,SHORT,counter,standard,20992,954.18,198.038,646,77.9,78.0,77.9,1.127,-699.4,4,22,15,6,4,1,0,67.6,False,none
F13,DailyOpen_Dist_ATR:lo@p20,LONG,aligned,standard,14102,641.0,133.038,453,79.5,79.5,79.5,1.334,-562.8,4,22,16,6,4,0,0,70.6,False,none
F13,DailyOpen_Dist_ATR:lo@p20,LONG,counter,standard,15531,705.95,146.519,492,82.9,82.9,82.9,1.424,-287.5,5,22,16,6,6,1,0,79.4,False,none
F13,DailyOpen_Dist_ATR:lo@p20,SHORT,aligned,standard,15531,705.95,146.519,483,78.7,78.8,78.7,1.068,-477.6,5,22,10,6,3,1,0,52.9,False,none
F13,DailyOpen_Dist_ATR:lo@p20,SHORT,counter,standard,14102,641.0,133.038,479,76.4,76.6,76.4,1.052,-740.7,4,22,13,6,4,1,0,61.8,False,none
F13,DailyOpen_Dist_ATR:lo@p10,LONG,aligned,standard,7419,337.23,69.991,272,79.8,79.8,79.8,1.432,-311.5,5,22,13,6,4,0,0,64.7,False,none
F13,DailyOpen_Dist_ATR:lo@p10,LONG,counter,standard,7937,360.77,74.877,271,80.4,80.4,80.4,1.119,-256.8,4,22,11,6,3,0,0,52.9,False,none
F13,DailyOpen_Dist_ATR:lo@p10,SHORT,aligned,standard,7937,360.77,74.877,275,79.3,79.3,79.3,1.132,-288.3,5,22,13,6,3,0,0,61.8,False,none
F13,DailyOpen_Dist_ATR:lo@p10,SHORT,counter,standard,7419,337.23,69.991,289,77.2,77.4,77.2,1.171,-323.7,4,22,13,6,4,1,0,61.8,False,none
F13,DailyOpen_Dist_ATR:lo@p5,LONG,aligned,standard,4131,187.77,38.972,178,80.3,80.8,80.3,1.56,-266.1,4,21,11,5,4,1,0,59.4,False,none
F13,DailyOpen_Dist_ATR:lo@p5,LONG,counter,standard,4086,185.73,38.547,167,80.2,80.2,80.2,1.202,-197.6,4,21,10,6,4,0,0,54.5,False,none
F13,DailyOpen_Dist_ATR:lo@p5,SHORT,aligned,standard,4086,185.73,38.547,182,76.4,76.4,76.4,0.954,-278.8,3,21,12,6,2,0,0,51.5,False,none
F13,DailyOpen_Dist_ATR:lo@p5,SHORT,counter,standard,4131,187.77,38.972,183,79.2,79.2,79.2,1.404,-278.1,4,21,16,5,4,0,0,75.0,False,none
F13,DailyOpen_Dist_ATR:lo@p3,LONG,aligned,standard,2528,114.91,23.849,133,80.5,81.1,80.5,1.34,-281.6,3,21,14,5,3,1,0,62.5,False,none
F13,DailyOpen_Dist_ATR:lo@p3,LONG,counter,standard,2438,110.82,23.0,109,78.0,78.0,78.0,1.036,-306.0,3,21,11,6,3,0,0,51.5,False,none
F13,DailyOpen_Dist_ATR:lo@p3,SHORT,aligned,standard,2438,110.82,23.0,131,78.6,78.6,78.6,1.148,-186.0,5,21,14,6,3,0,0,66.7,False,none
F13,DailyOpen_Dist_ATR:lo@p3,SHORT,counter,standard,2528,114.91,23.849,129,78.3,78.3,78.3,1.345,-264.0,4,21,13,5,2,0,0,59.4,False,none
F13,DailyOpen_Dist_ATR:lo@p1,LONG,aligned,standard,844,38.36,7.962,74,78.4,80.6,78.4,1.484,-281.6,3,20,12,5,3,2,0,58.1,False,none
F13,DailyOpen_Dist_ATR:lo@p1,LONG,counter,standard,799,36.32,7.538,53,84.9,84.9,84.9,1.536,-306.0,3,16,11,6,4,0,0,66.7,False,none
F13,DailyOpen_Dist_ATR:lo@p1,SHORT,aligned,standard,799,36.32,7.538,58,75.9,75.9,75.9,0.887,-220.5,2,16,10,6,1,0,0,48.1,False,none
F13,DailyOpen_Dist_ATR:lo@p1,SHORT,counter,standard,844,38.36,7.962,63,81.0,81.0,81.0,1.51,-306.0,4,20,12,5,3,0,0,61.3,False,none
F13,Dist_To_PoC_ATR:hi@p50,LONG,aligned,standard,46213,2100.59,435.972,654,77.8,78.1,77.8,1.001,-285.4,3,22,10,6,3,2,0,47.1,False,none
F13,Dist_To_PoC_ATR:hi@p50,LONG,counter,standard,28524,1296.55,269.094,397,84.1,84.5,84.1,1.665,-232.7,5,20,14,5,4,4,1,74.2,False,none
F13,Dist_To_PoC_ATR:hi@p50,SHORT,aligned,standard,28524,1296.55,269.094,407,77.6,77.8,77.6,1.008,-496.2,2,20,10,5,2,2,1,45.2,False,none
F13,Dist_To_PoC_ATR:hi@p50,SHORT,counter,standard,46213,2100.59,435.972,684,79.7,79.6,79.7,1.297,-550.9,3,22,14,6,5,2,0,64.7,False,none
F13,Dist_To_PoC_ATR:hi@p60,LONG,aligned,standard,38418,1746.27,362.434,512,76.4,76.4,76.4,1.024,-328.2,2,21,10,6,2,0,0,42.4,False,none
F13,Dist_To_PoC_ATR:hi@p60,LONG,counter,standard,22936,1042.55,216.377,292,83.6,83.7,83.6,1.515,-191.6,3,19,13,5,4,3,0,66.7,False,none
F13,Dist_To_PoC_ATR:hi@p60,SHORT,aligned,standard,22936,1042.55,216.377,299,78.9,79.1,78.9,1.139,-194.9,4,19,11,5,4,2,0,63.3,False,none
F13,Dist_To_PoC_ATR:hi@p60,SHORT,counter,standard,38418,1746.27,362.434,532,81.2,81.5,81.2,1.321,-417.5,4,21,14,5,4,2,0,68.8,False,none
F13,Dist_To_PoC_ATR:hi@p70,LONG,aligned,standard,29920,1360.0,282.264,391,74.9,74.9,74.9,0.978,-243.9,4,21,9,5,1,0,0,43.8,False,none
F13,Dist_To_PoC_ATR:hi@p70,LONG,counter,standard,17461,793.68,164.726,212,84.9,84.8,84.9,1.791,-168.8,5,16,9,5,5,1,0,70.4,False,none
F13,Dist_To_PoC_ATR:hi@p70,SHORT,aligned,standard,17461,793.68,164.726,207,76.8,76.8,76.8,1.029,-176.0,2,16,8,5,2,0,0,44.4,False,none
F13,Dist_To_PoC_ATR:hi@p70,SHORT,counter,standard,29920,1360.0,282.264,405,81.7,81.7,81.7,1.375,-406.4,4,21,14,5,4,1,0,68.8,False,none
F13,Dist_To_PoC_ATR:hi@p80,LONG,aligned,standard,21470,975.91,202.547,260,74.2,74.2,74.2,0.87,-491.5,1,16,6,5,1,0,0,30.8,False,none
F13,Dist_To_PoC_ATR:hi@p80,LONG,counter,standard,12266,557.55,115.717,118,84.7,84.6,84.7,1.581,-100.4,5,15,11,5,5,1,0,80.8,False,none
F13,Dist_To_PoC_ATR:hi@p80,SHORT,aligned,standard,12266,557.55,115.717,121,71.9,71.9,71.9,0.739,-153.0,1,15,6,5,0,0,0,26.9,False,none
F13,Dist_To_PoC_ATR:hi@p80,SHORT,counter,standard,21470,975.91,202.547,268,82.8,82.8,82.8,1.455,-225.9,3,16,10,5,4,0,0,65.4,False,none
F13,Dist_To_PoC_ATR:hi@p90,LONG,aligned,standard,13052,593.27,123.132,134,71.6,71.6,71.6,0.758,-434.7,2,14,7,5,1,0,0,41.7,False,none
F13,Dist_To_PoC_ATR:hi@p90,LONG,counter,standard,7426,337.55,70.057,82,80.5,80.2,80.5,1.321,-119.0,4,9,5,5,3,1,0,63.2,False,none
F13,Dist_To_PoC_ATR:hi@p90,SHORT,aligned,standard,7426,337.55,70.057,68,73.5,73.5,73.5,0.823,-134.2,1,9,3,5,0,0,0,21.1,False,none
F13,Dist_To_PoC_ATR:hi@p90,SHORT,counter,standard,13052,593.27,123.132,152,85.5,85.5,85.5,1.955,-264.4,4,14,11,5,4,0,0,79.2,False,none
F13,Dist_To_PoC_ATR:hi@p95,LONG,aligned,standard,9219,419.05,86.972,101,69.3,69.3,69.3,0.66,-524.1,1,10,3,5,1,0,0,25.0,False,none
