family,signal_def,direction,d2d_mode,gating,trades,total_firings,firings_per_week,firings_per_day,mask_bars,WR,wr_pre_fc,wr_post_fc,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,persistence,exit_FC,exit_EOD,survival,tier
F13,WeeklyOpen_Side:==-1,LONG,counter,standard,540,540,24.55,5.094,24389,84.3,84.2,84.3,1.693,-645.9,6,19,18,6,6,96.8,2,0,False,none
F13,AT_Score_LT:lo@p50,LONG,counter,standard,160,160,7.27,1.509,8974,84.4,84.4,84.4,1.728,-236.3,6,17,16,6,6,96.6,0,0,False,none
F13,AT_Score_LT:lo@p40,LONG,counter,standard,160,160,7.27,1.509,8974,84.4,84.4,84.4,1.728,-236.3,6,17,16,6,6,96.6,0,0,False,none
F13,AT_Score_LT:lo@p30,LONG,counter,standard,152,152,6.91,1.434,8897,84.2,84.2,84.2,1.766,-236.3,6,17,16,6,6,96.6,0,0,False,none
F13,Volume_Ratio_10:lo@p10,LONG,aligned,standard,14,14,0.64,0.132,15202,92.9,92.9,92.9,4.278,-141.9,6,12,12,4,3,95.5,0,0,False,surface
F13,OR_Low_Dist_ATR:lo@p40,SHORT,aligned,standard,53,53,2.41,0.5,13376,90.6,90.4,90.6,4.033,-33.9,6,10,9,5,5,95.2,1,0,False,surface
F13,Round_500_Dist_ATR:hi@p70,LONG,counter,standard,72,72,3.27,0.679,32834,88.9,88.9,88.9,2.689,-51.0,5,10,9,5,5,95.0,0,0,False,none
F13,Micro_GarmanKlass:lo@p50,LONG,counter,standard,58,58,2.64,0.547,48636,86.2,86.2,86.2,1.989,-50.1,5,9,8,5,5,94.7,0,0,False,none
F13,D2D_ATR_MA:lo@p40,SHORT,aligned,standard,23,23,1.05,0.217,43443,87.0,87.0,87.0,1.761,-144.9,3,9,8,6,6,94.4,0,0,False,none
F13,Micro_BarEntropy:hi@p70,LONG,counter,standard,833,833,37.86,7.858,22333,82.8,82.9,82.8,1.385,-346.4,6,22,20,6,6,94.1,2,1,False,none
F13,Lower_Wick:hi@p50,LONG,counter,standard,1158,1158,52.64,10.925,28562,82.5,82.5,82.5,1.443,-456.0,6,22,20,6,6,94.1,4,1,False,none
