# DOT committed-system per-trade table (spec B.2 open item 8)
# book=FROZEN ratified book (book50_signals.csv)
# dataset_rows=177251 range=2026.01.19 15:49 -> 2026.07.21 17:09
# population=FULL (BOOK F0+F1 plus gap fillers). BOOK-only = rows whose signal_name is not GAP_HURST/GAP_FB/GAP_D2D.
# oracle_sha256_12=518862bf19fb engine_sha256_12=bb498eb13ce3
signal_idx,signal_name,direction,lots,entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,pnl,pnl_per_lot,exit_type,tiers,be_nudged,initial_risk
12,S_13_EMA_Osci+Micro_Hu+ADX_Valu,SHORT,1.0,9403,9408,2026.01.28 17:07,2026.01.28 17:12,48963.35,48942.1792028,18.2,18.2,LF,5,True,70.569324
51,GAP_FB,LONG,1.0,9411,9413,2026.01.28 17:15,2026.01.28 17:17,48929.85,48981.0084192,48.2,48.2,BE,1,True,113.685376
14,L_15_Bar_Rang+Micro_La+RangeOsc,LONG,1.25,9428,9430,2026.01.28 17:32,2026.01.28 17:34,49022.8,49035.8576608,12.6,10.1,BE,1,True,43.525536
20,L_21_Bar_Rang+OBV_Macd+Micro_Ti,LONG,1.25,9428,9430,2026.01.28 17:32,2026.01.28 17:34,49022.8,49035.8576608,12.6,10.1,BE,1,True,43.525536
19,L_20_Bar_Rang+Micro_Mo+Micro_Ti,LONG,1.25,9429,9434,2026.01.28 17:33,2026.01.28 17:38,49033.85,49046.1783314,11.7,9.3,BE,1,True,82.188876
8,L_9_Micro_IB+VWAP_Sig+Volume,LONG,1.25,9435,9437,2026.01.28 17:39,2026.01.28 17:41,49041.8,49049.8044776,6.3,5.0,BE,1,True,26.681592
48,L_49___F1_0+__F1_0+__F1_0,LONG,1.25,9435,9437,2026.01.28 17:39,2026.01.28 17:41,49041.8,49049.8044776,6.3,5.0,BE,1,True,26.681592
28,L_29_Slope_EM+Micro_HL+Micro_Re,LONG,1.0,9502,9504,2026.01.28 18:46,2026.01.28 18:48,49026.3,49036.6857726,7.4,7.4,BE,1,True,34.619242
34,L_35_AT_Slope+Micro_Au+D2D_DirS,LONG,1.0,9502,9504,2026.01.28 18:46,2026.01.28 18:48,49026.3,49036.6857726,7.4,7.4,BE,1,True,34.619242
29,L_30_Slope_EM+Micro_HL+Micro_Or,LONG,1.0,9503,9505,2026.01.28 18:47,2026.01.28 18:49,49031.8,49041.652755400006,6.9,6.9,BE,1,True,32.842518
